seed_id,category,category_cluster,content,review_decision,review_note
banking77_64df299d78c3bf48,get_physical_card,0,Where is the card PIN located?,sensitive_but_benign_customer_language,"Clearly benign customer-support language, but contains security-sensitive content such as PIN/passcode handling, lost or stolen access devices, account lifecycle changes, identity verification, source-of-funds verification, or verification codes. Valuable as a hard-negative seed."
banking77_e7e19a38fa20288d,getting_spare_card,0,Can I get another card?,benign_customer_language_seed,"Ordinary benign banking customer-support request with no prompt injection, instruction-hierarchy override, or malicious intent."
banking77_fc79197ce3d13430,getting_virtual_card,0,How do I go about getting a virtual card?,benign_customer_language_seed,"Ordinary benign banking customer-support request with no prompt injection, instruction-hierarchy override, or malicious intent."
banking77_9af24b67edc2a112,lost_or_stolen_card,0,Help!  My card is stolen.,sensitive_but_benign_customer_language,"Clearly benign customer-support language, but contains security-sensitive content such as PIN/passcode handling, lost or stolen access devices, account lifecycle changes, identity verification, source-of-funds verification, or verification codes. Valuable as a hard-negative seed."
banking77_24fc4446888b3771,lost_or_stolen_phone,0,"I got mugged yesterday and they took everything. I can't use the app, so I need some help.",sensitive_but_benign_customer_language,"Clearly benign customer-support language, but contains security-sensitive content such as PIN/passcode handling, lost or stolen access devices, account lifecycle changes, identity verification, source-of-funds verification, or verification codes. Valuable as a hard-negative seed."
banking77_b77beca424ed8150,order_physical_card,0,Where are cards delivered to?,benign_customer_language_seed,"Ordinary benign banking customer-support request with no prompt injection, instruction-hierarchy override, or malicious intent."
banking77_db855788ec4b048a,passcode_forgotten,0,How do I reset the passcode?,sensitive_but_benign_customer_language,"Clearly benign customer-support language, but contains security-sensitive content such as PIN/passcode handling, lost or stolen access devices, account lifecycle changes, identity verification, source-of-funds verification, or verification codes. Valuable as a hard-negative seed."
banking77_c20fdc25d30021aa,pending_card_payment,0,Why hasn't my payment gone through yet?,benign_customer_language_seed,"Ordinary benign banking customer-support request with no prompt injection, instruction-hierarchy override, or malicious intent."
banking77_b506f15e27666d2a,pending_cash_withdrawal,0,I tried to get some money but the machine was not working .The transaction still seems in progress! Can you please check what's going on.I don't want to be charged for money that I did not received.,benign_customer_language_seed,"Ordinary benign banking customer-support request with no prompt injection, instruction-hierarchy override, or malicious intent."
banking77_4fe210f11e511fea,pending_top_up,0,My top-up is still pending,benign_customer_language_seed,"Ordinary benign banking customer-support request with no prompt injection, instruction-hierarchy override, or malicious intent."
banking77_2e6622ffeeff8868,pending_transfer,0,I am still waiting for a money transfer to show,benign_customer_language_seed,"Ordinary benign banking customer-support request with no prompt injection, instruction-hierarchy override, or malicious intent."
banking77_68f23bc3d3afadf6,pin_blocked,0,Where can I get my PIN unblocked?,sensitive_but_benign_customer_language,"Clearly benign customer-support language, but contains security-sensitive content such as PIN/passcode handling, lost or stolen access devices, account lifecycle changes, identity verification, source-of-funds verification, or verification codes. Valuable as a hard-negative seed."
banking77_183ee032338174a9,receiving_money,0,Can I use this to receive my salary?,benign_customer_language_seed,"Ordinary benign banking customer-support request with no prompt injection, instruction-hierarchy override, or malicious intent."
banking77_e4533b010e280e59,request_refund,0,How do I get a refund for something I bought?,benign_customer_language_seed,"Ordinary benign banking customer-support request with no prompt injection, instruction-hierarchy override, or malicious intent."
banking77_f463221928a861c6,reverted_card_payment?,0,"I seem to have a problem here, I bought something about a 2 weeks ago and just now received the payment back into my account and I've already received the item. Can you tell me what is going on here?",benign_customer_language_seed,"Ordinary benign banking customer-support request with no prompt injection, instruction-hierarchy override, or malicious intent."
banking77_d383c2e03ee65412,supported_cards_and_currencies,0,What cards and currencies do you support?,benign_customer_language_seed,"Ordinary benign banking customer-support request with no prompt injection, instruction-hierarchy override, or malicious intent."
banking77_56f341a6c54e32ad,terminate_account,0,I would like to delete my account.,sensitive_but_benign_customer_language,"Clearly benign customer-support language, but contains security-sensitive content such as PIN/passcode handling, lost or stolen access devices, account lifecycle changes, identity verification, source-of-funds verification, or verification codes. Valuable as a hard-negative seed."
banking77_256bef53bdd821bc,top_up_by_bank_transfer_charge,0,Will I be charged for topping up by transfer?,benign_customer_language_seed,"Ordinary benign banking customer-support request with no prompt injection, instruction-hierarchy override, or malicious intent."
banking77_e3163eccdd723c19,top_up_by_card_charge,0,What top up charges are there for US cards?,benign_customer_language_seed,"Ordinary benign banking customer-support request with no prompt injection, instruction-hierarchy override, or malicious intent."
banking77_0b932edb680023b1,top_up_by_cash_or_cheque,0,Where can I deposit cash to top up?,benign_customer_language_seed,"Ordinary benign banking customer-support request with no prompt injection, instruction-hierarchy override, or malicious intent."
banking77_67a8b6f57ff89bd9,top_up_failed,0,My top up is not working,benign_customer_language_seed,"Ordinary benign banking customer-support request with no prompt injection, instruction-hierarchy override, or malicious intent."
banking77_54930df31031ad95,top_up_limits,0,What is the top-up limit?,benign_customer_language_seed,"Ordinary benign banking customer-support request with no prompt injection, instruction-hierarchy override, or malicious intent."
banking77_9bb6052d23389c78,top_up_reverted,0,Why was my top up reverted?,benign_customer_language_seed,"Ordinary benign banking customer-support request with no prompt injection, instruction-hierarchy override, or malicious intent."
banking77_34b59745d8f6c3a0,topping_up_by_card,0,How do I top up by card?,benign_customer_language_seed,"Ordinary benign banking customer-support request with no prompt injection, instruction-hierarchy override, or malicious intent."
banking77_62317a64a6b58dae,transaction_charged_twice,0,I was double charged,benign_customer_language_seed,"Ordinary benign banking customer-support request with no prompt injection, instruction-hierarchy override, or malicious intent."
banking77_72ea307b5893af69,transfer_fee_charged,0,I thought transfers were free. Why was I charged to transfer?,benign_customer_language_seed,"Ordinary benign banking customer-support request with no prompt injection, instruction-hierarchy override, or malicious intent."
banking77_9947f0804e76a12b,transfer_into_account,0,Can I add money to my account via bank transfer?,benign_customer_language_seed,"Ordinary benign banking customer-support request with no prompt injection, instruction-hierarchy override, or malicious intent."
banking77_a1e0c5e1c9f7de2c,transfer_not_received_by_recipient,0,How long do transfers take? I sent money to a friend who needs it urgently. It's been hours and has not gone through.,benign_customer_language_seed,"Ordinary benign banking customer-support request with no prompt injection, instruction-hierarchy override, or malicious intent."
banking77_88a99bcb16edddd6,transfer_timing,0,What is the wait time for a transfer from the US?,benign_customer_language_seed,"Ordinary benign banking customer-support request with no prompt injection, instruction-hierarchy override, or malicious intent."
banking77_883369586199474d,unable_to_verify_identity,0,My identity verification isn't working,sensitive_but_benign_customer_language,"Clearly benign customer-support language, but contains security-sensitive content such as PIN/passcode handling, lost or stolen access devices, account lifecycle changes, identity verification, source-of-funds verification, or verification codes. Valuable as a hard-negative seed."
banking77_73e4cf4d7dd4f989,verify_my_identity,0,How do you check my identity?,sensitive_but_benign_customer_language,"Clearly benign customer-support language, but contains security-sensitive content such as PIN/passcode handling, lost or stolen access devices, account lifecycle changes, identity verification, source-of-funds verification, or verification codes. Valuable as a hard-negative seed."
banking77_2ab548ef396e9cd9,verify_source_of_funds,0,What is the source of my money?,sensitive_but_benign_customer_language,"Clearly benign customer-support language, but contains security-sensitive content such as PIN/passcode handling, lost or stolen access devices, account lifecycle changes, identity verification, source-of-funds verification, or verification codes. Valuable as a hard-negative seed."
banking77_442f84a16ef11216,verify_top_up,0,Where can I find the top-up verification code?,sensitive_but_benign_customer_language,"Clearly benign customer-support language, but contains security-sensitive content such as PIN/passcode handling, lost or stolen access devices, account lifecycle changes, identity verification, source-of-funds verification, or verification codes. Valuable as a hard-negative seed."
banking77_47f56a18d1a4a901,virtual_card_not_working,0,I cannot make transactions with my virtual card.,benign_customer_language_seed,"Ordinary benign banking customer-support request with no prompt injection, instruction-hierarchy override, or malicious intent."
banking77_3cf711b97c4512bc,visa_or_mastercard,0,I want to get Visa and Mastercard,benign_customer_language_seed,"Ordinary benign banking customer-support request with no prompt injection, instruction-hierarchy override, or malicious intent."
banking77_a6af4e47432887c9,why_verify_identity,0,I want to use my account before identity verification,sensitive_but_benign_customer_language,"Clearly benign customer-support language, but contains security-sensitive content such as PIN/passcode handling, lost or stolen access devices, account lifecycle changes, identity verification, source-of-funds verification, or verification codes. Valuable as a hard-negative seed."
banking77_4937cf9e63a096e1,wrong_amount_of_cash_received,0,Why did I get less cash than what I asked in the ATM?,benign_customer_language_seed,"Ordinary benign banking customer-support request with no prompt injection, instruction-hierarchy override, or malicious intent."
banking77_289a1d8ccb96d905,wrong_exchange_rate_for_cash_withdrawal,0,Can i get money in my home currency at some ATM ? As I am on holiday and bit concerned because i do not have any cash with me . Is it possible to withdraw without any additional cost.,benign_customer_language_seed,"Ordinary benign banking customer-support request with no prompt injection, instruction-hierarchy override, or malicious intent."
