tool_name,suites,suite_instance_count,descriptions,public_parameter_variants,environment_dependency_variants,implementation_locations,suggested_capability_class,suggested_action_impact,review_priority,review_decision,capability_class,action_impact,review_note
check_restaurant_opening_hours,"[""travel""]",1,"[""Get the openning hours of the given restaurants, check if the restaurant is open. :param restaurant_names: The name of the restaurant to get the operating hours for.""]","[[{""name"": ""restaurant_names"", ""kind"": ""positional_or_keyword"", ""annotation"": ""list[str]"", ""default"": null, ""required"": true, ""is_environment_dependency"": false, ""environment_dependency"": null}]]","[[{""name"": ""restaurants"", ""kind"": ""positional_or_keyword"", ""annotation"": ""Annotated[Restaurants, Depends('restaurants')]"", ""default"": null, ""required"": false, ""is_environment_dependency"": true, ""environment_dependency"": ""restaurants""}]]","[{""suite"": ""travel"", ""implementation_file"": ""src/agentdojo/default_suites/v1/tools/travel_booking_client.py"", ""source_line"": 262}]",read_only,low,P2_read_only_validation,confirmed_capability_metadata,ordinary_read,low,"Human review confirmed that this tool performs read-only retrieval of ordinary public, commercial, travel, or non-sensitive reference information."
get_all_car_rental_companies_in_city,"[""travel""]",1,"[""Get all car rental companies in the given city. :param city: The city to get car rental companies from.""]","[[{""name"": ""city"", ""kind"": ""positional_or_keyword"", ""annotation"": ""str"", ""default"": null, ""required"": true, ""is_environment_dependency"": false, ""environment_dependency"": null}]]","[[{""name"": ""car_rental"", ""kind"": ""positional_or_keyword"", ""annotation"": ""Annotated[CarRental, Depends('car_rental')]"", ""default"": null, ""required"": false, ""is_environment_dependency"": true, ""environment_dependency"": ""car_rental""}]]","[{""suite"": ""travel"", ""implementation_file"": ""src/agentdojo/default_suites/v1/tools/travel_booking_client.py"", ""source_line"": 279}]",read_only,low,P2_read_only_validation,confirmed_capability_metadata,ordinary_read,low,"Human review confirmed that this tool performs read-only retrieval of ordinary public, commercial, travel, or non-sensitive reference information."
get_all_hotels_in_city,"[""travel""]",1,"[""Get all hotels in the given city. :param city: The city to get hotels from.""]","[[{""name"": ""city"", ""kind"": ""positional_or_keyword"", ""annotation"": ""str"", ""default"": null, ""required"": true, ""is_environment_dependency"": false, ""environment_dependency"": null}]]","[[{""name"": ""hotels"", ""kind"": ""positional_or_keyword"", ""annotation"": ""Annotated[Hotels, Depends('hotels')]"", ""default"": null, ""required"": false, ""is_environment_dependency"": true, ""environment_dependency"": ""hotels""}]]","[{""suite"": ""travel"", ""implementation_file"": ""src/agentdojo/default_suites/v1/tools/travel_booking_client.py"", ""source_line"": 122}]",read_only,low,P2_read_only_validation,confirmed_capability_metadata,ordinary_read,low,"Human review confirmed that this tool performs read-only retrieval of ordinary public, commercial, travel, or non-sensitive reference information."
get_all_restaurants_in_city,"[""travel""]",1,"[""Get all restaurants in the given city. :param city: The city to get restaurants from.""]","[[{""name"": ""city"", ""kind"": ""positional_or_keyword"", ""annotation"": ""str"", ""default"": null, ""required"": true, ""is_environment_dependency"": false, ""environment_dependency"": null}]]","[[{""name"": ""restaurants"", ""kind"": ""positional_or_keyword"", ""annotation"": ""Annotated[Restaurants, Depends('restaurants')]"", ""default"": null, ""required"": false, ""is_environment_dependency"": true, ""environment_dependency"": ""restaurants""}]]","[{""suite"": ""travel"", ""implementation_file"": ""src/agentdojo/default_suites/v1/tools/travel_booking_client.py"", ""source_line"": 166}]",read_only,low,P2_read_only_validation,confirmed_capability_metadata,ordinary_read,low,"Human review confirmed that this tool performs read-only retrieval of ordinary public, commercial, travel, or non-sensitive reference information."
get_balance,"[""banking""]",1,"[""Get the balance of the account.""]",[[]],"[[{""name"": ""account"", ""kind"": ""positional_or_keyword"", ""annotation"": ""Annotated[BankAccount, Depends('bank_account')]"", ""default"": null, ""required"": false, ""is_environment_dependency"": true, ""environment_dependency"": ""bank_account""}]]","[{""suite"": ""banking"", ""implementation_file"": ""src/agentdojo/default_suites/v1/tools/banking_client.py"", ""source_line"": 154}]",read_only,low,P2_read_only_validation,confirmed_capability_metadata,financial_data_read,medium,Human review confirmed that this tool reads private financial account information without modifying state. Returns the user's current account balance.
get_car_fuel_options,"[""travel""]",1,"[""Get the fuel options of the given car rental companies. :param company_name: The name of the car rental company to get the fuel options for.""]","[[{""name"": ""company_name"", ""kind"": ""positional_or_keyword"", ""annotation"": ""list[str]"", ""default"": null, ""required"": true, ""is_environment_dependency"": false, ""environment_dependency"": null}]]","[[{""name"": ""car_rental"", ""kind"": ""positional_or_keyword"", ""annotation"": ""Annotated[CarRental, Depends('car_rental')]"", ""default"": null, ""required"": false, ""is_environment_dependency"": true, ""environment_dependency"": ""car_rental""}]]","[{""suite"": ""travel"", ""implementation_file"": ""src/agentdojo/default_suites/v1/tools/travel_booking_client.py"", ""source_line"": 321}]",read_only,low,P2_read_only_validation,confirmed_capability_metadata,ordinary_read,low,"Human review confirmed that this tool performs read-only retrieval of ordinary public, commercial, travel, or non-sensitive reference information."
get_car_price_per_day,"[""travel""]",1,"[""Get the price per day of the given car rental companies. :param company_name: The name of the car rental company to get the price per day for.""]","[[{""name"": ""company_name"", ""kind"": ""positional_or_keyword"", ""annotation"": ""list[str]"", ""default"": null, ""required"": true, ""is_environment_dependency"": false, ""environment_dependency"": null}]]","[[{""name"": ""car_rental"", ""kind"": ""positional_or_keyword"", ""annotation"": ""Annotated[CarRental, Depends('car_rental')]"", ""default"": null, ""required"": false, ""is_environment_dependency"": true, ""environment_dependency"": ""car_rental""}]]","[{""suite"": ""travel"", ""implementation_file"": ""src/agentdojo/default_suites/v1/tools/travel_booking_client.py"", ""source_line"": 330}]",read_only,low,P2_read_only_validation,confirmed_capability_metadata,ordinary_read,low,"Human review confirmed that this tool performs read-only retrieval of ordinary public, commercial, travel, or non-sensitive reference information."
get_car_rental_address,"[""travel""]",1,"[""Get the address of the given car rental companies. :param company_name: The name of the car rental company to get the address for.""]","[[{""name"": ""company_name"", ""kind"": ""positional_or_keyword"", ""annotation"": ""list[str]"", ""default"": null, ""required"": true, ""is_environment_dependency"": false, ""environment_dependency"": null}]]","[[{""name"": ""car_rental"", ""kind"": ""positional_or_keyword"", ""annotation"": ""Annotated[CarRental, Depends('car_rental')]"", ""default"": null, ""required"": false, ""is_environment_dependency"": true, ""environment_dependency"": ""car_rental""}]]","[{""suite"": ""travel"", ""implementation_file"": ""src/agentdojo/default_suites/v1/tools/travel_booking_client.py"", ""source_line"": 312}]",read_only,low,P2_read_only_validation,confirmed_capability_metadata,ordinary_read,low,"Human review confirmed that this tool performs read-only retrieval of ordinary public, commercial, travel, or non-sensitive reference information."
get_car_types_available,"[""travel""]",1,"[""Get the car types available for the given car rental companies. :param company_name: The name of the car rental company to get the car types available for.""]","[[{""name"": ""company_name"", ""kind"": ""positional_or_keyword"", ""annotation"": ""list[str]"", ""default"": null, ""required"": true, ""is_environment_dependency"": false, ""environment_dependency"": null}]]","[[{""name"": ""car_rental"", ""kind"": ""positional_or_keyword"", ""annotation"": ""Annotated[CarRental, Depends('car_rental')]"", ""default"": null, ""required"": false, ""is_environment_dependency"": true, ""environment_dependency"": ""car_rental""}]]","[{""suite"": ""travel"", ""implementation_file"": ""src/agentdojo/default_suites/v1/tools/travel_booking_client.py"", ""source_line"": 288}]",read_only,low,P2_read_only_validation,confirmed_capability_metadata,ordinary_read,low,"Human review confirmed that this tool performs read-only retrieval of ordinary public, commercial, travel, or non-sensitive reference information."
get_channels,"[""slack""]",1,"[""Get the list of channels in the slack.""]",[[]],"[[{""name"": ""slack"", ""kind"": ""positional_or_keyword"", ""annotation"": ""AnnotatedSlack"", ""default"": null, ""required"": false, ""is_environment_dependency"": true, ""environment_dependency"": ""slack""}]]","[{""suite"": ""slack"", ""implementation_file"": ""src/agentdojo/default_suites/v1/tools/slack.py"", ""source_line"": 25}]",read_only,low,P2_read_only_validation,confirmed_capability_metadata,sensitive_data_read,medium,"Human review confirmed that this tool reads potentially private workspace, calendar, or cloud-document data without modifying state. May reveal internal workspace structure and sensitive channel names."
